gesetzKuerzel;gesetzName;paragraf;absatz;titel;inhalt;mangelVorgefunden;rechtsgrundlage;handlungsaufforderung
ArbSchG;Arbeitsschutzgesetz;§ 1;1;Zielsetzung und Anwendungsbereich;(1) Dieses Gesetz dient dazu, Sicherheit und Gesundheitsschutz der Beschäftigten bei der Arbeit durch Maßnahmen des Arbeitsschutzes zu sichern und zu verbessern. Es gilt in allen Tätigkeitsbereichen und findet im Rahmen der Vorgaben des Seerechtsübereinkommens der Vereinten Nationen vom 10. Dezember 1982 (BGBl. 1994 II S. 1799) auch in der ausschließlichen Wirtschaftszone Anwendung.;;;
ArbSchG;Arbeitsschutzgesetz;§ 1;2;Zielsetzung und Anwendungsbereich;(2) Dieses Gesetz gilt nicht für den Arbeitsschutz von Hausangestellten in privaten Haushalten. Es gilt nicht für den Arbeitsschutz von Beschäftigten auf Seeschiffen und in Betrieben, die dem Bundesberggesetz unterliegen, soweit dafür entsprechende Rechtsvorschriften bestehen.;;;
ArbSchG;Arbeitsschutzgesetz;§ 1;3;Zielsetzung und Anwendungsbereich;(3) Pflichten, die die Arbeitgeber zur Gewährleistung von Sicherheit und Gesundheitsschutz der Beschäftigten bei der Arbeit nach sonstigen Rechtsvorschriften haben, bleiben unberührt. Satz 1 gilt entsprechend für Pflichten und Rechte der Beschäftigten. Unberührt bleiben Gesetze, die andere Personen als Arbeitgeber zu Maßnahmen des Arbeitsschutzes verpflichten.;;;
ArbSchG;Arbeitsschutzgesetz;§ 1;4;Zielsetzung und Anwendungsbereich;(4) Bei öffentlich-rechtlichen Religionsgemeinschaften treten an die Stelle der Betriebs- oder Personalräte die Mitarbeitervertretungen entsprechend dem kirchlichen Recht.;;;
ArbSchG;Arbeitsschutzgesetz;§ 2;1;Begriffsbestimmungen;(1) Maßnahmen des Arbeitsschutzes im Sinne dieses Gesetzes sind Maßnahmen zur Verhütung von Unfällen bei der Arbeit und arbeitsbedingten Gesundheitsgefahren einschließlich Maßnahmen der menschengerechten Gestaltung der Arbeit.;;;
ArbSchG;Arbeitsschutzgesetz;§ 2;2;Begriffsbestimmungen;(2) Beschäftigte im Sinne dieses Gesetzes sind: 1. Arbeitnehmerinnen und Arbeitnehmer, 2. die zu ihrer Berufsbildung Beschäftigten, 3. arbeitnehmerähnliche Personen im Sinne des § 5 Abs. 1 des Arbeitsgerichtsgesetzes, ausgenommen die in Heimarbeit Beschäftigten und die ihnen Gleichgestellten, 4. Beamtinnen und Beamte, 5. Richterinnen und Richter, 6. Soldatinnen und Soldaten, 7. die in Werkstätten für Behinderte Beschäftigten.;;;
ArbSchG;Arbeitsschutzgesetz;§ 2;3;Begriffsbestimmungen;(3) Arbeitgeber im Sinne dieses Gesetzes sind natürliche und juristische Personen und rechtsfähige Personengesellschaften, die Personen nach Absatz 2 beschäftigen.;;;
ArbSchG;Arbeitsschutzgesetz;§ 2;4;Begriffsbestimmungen;(4) Sonstige Rechtsvorschriften im Sinne dieses Gesetzes sind Regelungen über Maßnahmen des Arbeitsschutzes in anderen Gesetzen, in Rechtsverordnungen und Unfallverhütungsvorschriften.;;;
ArbSchG;Arbeitsschutzgesetz;§ 2;5;Begriffsbestimmungen;(5) Als Betriebe im Sinne dieses Gesetzes gelten für den Bereich des öffentlichen Dienstes die Dienststellen. Dienststellen sind die einzelnen Behörden, Verwaltungsstellen und Betriebe der Verwaltungen des Bundes, der Länder, der Gemeinden und der sonstigen Körperschaften, Anstalten und Stiftungen des öffentlichen Rechts, die Gerichte des Bundes und der Länder sowie die entsprechenden Einrichtungen der Streitkräfte.;;;
ArbSchG;Arbeitsschutzgesetz;§ 3;1;Grundpflichten des Arbeitgebers;(1) Der Arbeitgeber ist verpflichtet, die erforderlichen Maßnahmen des Arbeitsschutzes unter Berücksichtigung der Umstände zu treffen, die Sicherheit und Gesundheit der Beschäftigten bei der Arbeit beeinflussen. Er hat die Maßnahmen auf ihre Wirksamkeit zu überprüfen und erforderlichenfalls sich ändernden Gegebenheiten anzupassen. Dabei hat er eine Verbesserung von Sicherheit und Gesundheitsschutz der Beschäftigten anzustreben.;;;
